coaxial cable,ஓரச்சு வடம்,සමක්ෂක කේබලය
code editor,குறிமுறை தொகுப்பி,කේත සංස්කාරක
comment,விளக்கக் குறிப்பு,විවරණය
commutative law,பரிமாற்று விதி,න්‍යායද‌ේශ න්‍යාය
compact disc,ஓளியியல் வட்டு,සුසංහිත ඩිස්කය
compatibility,பொருந்துகை,ගැළපුම
compiler,தொகுப்பான்,සම්පාදකය
component,கூறு,සංරචකය
composite key,கூட்டுச் சாவி,සංයුක්ත යතුර
constant,மாறிலி,නියතය
content management system (CMS),உள்ளடக்க முகாமைத்துவ முறைமை,අන්තර්ගත කළමනාකරණ පද්ධතිය
context switching,சந்தர்ப்ப நிலைமாற்றல்,සන්දර්භ සුවිචනය
contiguous allocation,அடுத்தடுத்தான ஒதுக்கீடு,යාබද විභාජනය
control structure,கட்டுப்பாட்டுக் கட்டமைப்பு,පාලන ව්‍යුහය
control unit (CU),கட்டுப்பாட்டலகு,පාලන ඒකකයය
credit card,கடனட்டை,ණයපත
customization,தனிப்பயனாக்கல்,අභිරුචිකරණය
data,தரவு,දත්ත
data and control bus,தரவும் கட்டுப்பாட்டுப் பாட்டையும்,දත්ත සහ පාලන පථ
database management system (DBMS),தரவுத்தள முகாமைத்துவ முறைமை,දත්ත සමුදාය කළමනාකරණ පද්ධති
data definition language ( DDL),தரவு வரையறை மொழி,දත්ත නිර්වචන භාෂාව
data dictionary,தரவு அகராதி,දත්ත ශබ්දකෝෂය
data flow diagram,தரவு பாய்ச்சல் வரைபடம்,දත්ත ගැලීම් සටහන
data flow model (DFM),தரவு பாய்ச்சல் மாதிரி,දත්ත ගැලීම් ආකෘතිය
data link layer,தரவு இணைப்பு அடுக்கு,දත්ත සබැඳි ස්ථරය
data manipulating language ( DML),தரவு கையாளல் மொழி,දත්ත හැසුරැම් බස 
data migration,தரவு பெயர்ச்சி,දත්ත පර්යටනය 
debugging,வழு நீக்கல்,නිදොස් කිරීම 
decision support system (DSS),தீர்மான உதவு முறைமை,තීරණ සහාය පද්ධති 
declarative,அறிவிப்பு,ප්‍රකාශාත්මක
default values,இயல்புநிலை மதிப்பு,පෙරනිමි අගය
defragmentation,துணிக்கை நீக்கல்,ප්‍රතිඛණ්ඩනය
demodulation,பண்பிறக்கம்,විමුර්ඡනය 
device,சாதனம்,උපක්‍රමය
device,சாதனம்,උපාංගය 
device driver,சாதனச்  செலுத்தி,උපාංග ධාවක මෘදුකාංග
digital,இலக்க முறை,අංකිත 
digital camera,இலக்கமுறைப் படக்கருவி,අංකිත කැමරාව 
digital economy,இலக்கமுறைப் பொருளாதாரம்,අංකිත ආර්ථිකය
digitizer,இலக்கமாக்கி,සංඛ්‍ය‌ාංකකය
direct implementation,நேரடி அமுலாக்கம்,සෘජුස්ථාපනය
disk formatting,வட்டு வடிவமைப்பு,ඩිස්ක හැඩසව් ගැන්‌වීම
disk formatting,வட்டு வடிவமைப்பு,තැටි
distortion,திரிபு,විකෘතිය
distributive law,பங்கீட்டு விதி,විඝටන න්‍යාය 
document flow diagram,ஆவணப் பாய்ச்சல் வரைபடம்,ලේඛන ගැලීම් සටහන
domain,ஆள்களம்,වසම 
domain name server (DNS),ஆள்களப் பெயர் சேவையகம்,වසම් නාම සේවාදායකය
domain name system (DNS),ஆள்களப் பெயர் முறைமை,වසම් නාම පද්ධතිය
dynamic host configuration protocol (DHCP),மாறும் விருந்தோம்பி உள்ளமைவு நெறிமுறை,ගතික ධාරක පාලන නියමාවලිය 
dynamic web page,இயக்குநிலை வலைப்பக்கம்,ගතික වෙබ් පිටු 
e-commerce,மின் வர்த்தகம்,විද්‍යුත් වානිජ්‍යය
